company_name,building_name,raw_address
Mid America Apartments,MAA Canyon Pointe,"9715 FM 620 North, Austin, TX 78726"
Mid America Apartments,MAA Double Creek,"11001 South 1st Street, Austin, TX 78748"
Mid America Apartments,MAA Canyon Creek,"9501 N FM 620, Austin, TX 78726"
Mid America Apartments,MAA Onion Creek,"1901 Onion Creek Parkway, Austin, TX 78748"
Mid America Apartments,MAA Barton Skyway,"2901 Barton Skyway, Austin, TX 78746"
Mid America Apartments,MAA Ashton Oaks,"300 South A.W. Grimes Blvd, Round Rock, TX 78664"
Mid America Apartments,MAA Windmill Hill,"1501 Blue Ridge Drive, Georgetown, TX 78626"
Mid America Apartments,MAA Balcones Woods,"11215 Research Blvd., Austin, TX 78759"
Mid America Apartments,MAA Western Oaks,"8801 La Cresada Dr, Austin, TX 78749"
Mid America Apartments,MAA Wells Branch,"1630 Wells Branch Parkway, Austin, TX 78728"
Mid America Apartments,MAA Sierra Vista,"1111 South Creek Drive, Round Rock, TX 78664"
Mid America Apartments,MAA Round Rock,"1800 Plateau Vista Boulevard, Round Rock, TX 78664"
Mid America Apartments,MAA Quarry Oaks,"6263 McNeil Drive, Austin, TX 78729"
Mid America Apartments,MAA Brushy Creek,"11300 W. Parmer Lane, Cedar Park, TX 78613"
Mid America Apartments,MAA Park Mesa,"5811 Mesa Drive, Austin, TX 78731"
Mid America Apartments,MAA Barton Creek,"2001 S. Mopac Expressway, Austin, TX 78746"
Mid America Apartments,MAA Sunset Valley,"5800 Brodie Lane, Austin, TX 78745"
Mid America Apartments,MAA Cathedral Arts,"5088 Ross Avenue, Dallas, TX 75206"
Mid America Apartments,MAA Abbey,"2525 Worthington, Dallas, TX 75204"
Mid America Apartments,MAA Heights,"3015 State Street, Suite 111, Dallas, TX 75204"
Mid America Apartments,MAA Meridian,"2427 Allen Street, Dallas, TX 75204"
Mid America Apartments,MAA Katy Trail,"3223 Lemmon Avenue, Dallas, TX 75204"
Mid America Apartments,MAA Remington Hills,"1201 Meadow Creek Drive, Irving, TX 75038"
Mid America Apartments,MAA Highlands North,"16500 Lauder Lane, Dallas, TX 75248"
Mid America Apartments,MAA Las Colinas,"350 East Las Colinas Boulevard, Irving, TX 75039"
Mid America Apartments,MAA Medical District,"2222 Medical District Dr, Dallas, TX 75235"
Mid America Apartments,MAA Starwood,"6805 Lebanon Rd, Frisco, TX 75034"
Mid America Apartments,MAA Grapevine,"2300 Grayson Drive, Grapevine, TX 76051"
Mid America Apartments,MAA Times Square,"7951 Collin McKinney Pkwy, McKinney, TX 75070"
Mid America Apartments,MAA Willow Creek,"2801 Airport Freeway, Bedford, TX 76021"
Mid America Apartments,MAA Boulder Ridge,"1515 Cannon Parkway, Roanoke, TX 76262"
Mid America Apartments,MAA McKinney Avenue,"2815 Allen Street, Suite 120, Dallas, TX 75204"
Mid America Apartments,MAA Market Center,"3825 Mapleshade Ln, Plano, TX 75075"
Mid America Apartments,MAA Eastside,"1801 N. Greenville Ave Suite 300, Richardson, TX 75081"
Mid America Apartments,MAA Highwood,"2401 Ohio Drive, Plano, TX 75093"
Mid America Apartments,MAA Los Rios,"4701 14th Street, Plano, TX 75074"
Mid America Apartments,MAA Valley Ranch,"8001 North MacArthur Blvd, Irving, TX 75063"
Mid America Apartments,MAA Copper Ridge,"2001 Holley Parkway, Roanoke, TX 76262"
Mid America Apartments,MAA Watermark,"150 Parish Lane, Roanoke, TX 76262"
Mid America Apartments,MAA North Hall,"3096 N. Hall Street , Dallas, TX 75204"
Mid America Apartments,MAA Frisco Bridges,"7555 Warren Parkway, Frisco, TX 75034"
Mid America Apartments,MAA Worthington,"2808 McKinney Ave., Dallas, TX 75204"
Mid America Apartments,MAA Bear Creek,"1200 Fuller Wiser Road, Euless, TX 76039"
Mid America Apartments,MAA Bella Casita,"851 Lake Carolyn Pkwy, Irving, TX 75039"
Mid America Apartments,MAA Uptown Village,"2121 Routh Street, Dallas, TX 75201"
Mid America Apartments,MAA Fairview,"344 Murray Farm Road, Fairview, TX 75069"
Mid America Apartments,MAA Grand Courtyards,"525 W. Westchester Parkway, Grand Prairie, TX 75052"
Mid America Apartments,MAA Hebron,"1701 Hebron Pkwy East, Carrollton, TX 75010"
Mid America Apartments,MAA Lowes Farm,"1400 N State Hwy 360, Mansfield, TX 76063"
Mid America Apartments,MAA Legacy,"5741 Martin Road, Plano, TX 75024"
Mid America Apartments,MAA Shoal Creek,"2500 Central Park Boulevard, Bedford, TX 76022"
Mid America Apartments,MAA Addison Circle,"5009 Addison Circle, Addison, TX 75001"
Mid America Apartments,MAA Stonebridge Ranch,"6530 Virginia Pkwy, McKinney, TX 75070"
Mid America Apartments,MAA Gallery,"3006 Woodside Street, Dallas, TX 75204"
Mid America Apartments,MAA Greenwood Forest,"12820 Greenwood Forest Dr., Houston, TX 77066"
Mid America Apartments,MAA Ranchstone,"10901 Ranchstone Drive, Houston, TX 77064"
Mid America Apartments,MAA Park Point,"8850 Long Point Rd , Houston, TX 77055"
Mid America Apartments,MAA Midtown Square,"302 Gray Street, Houston, TX 77002"
Mid America Apartments,MAA Grand Cypress,"14144 Mueschke Rd, Cypress, TX 77433"
Mid America Apartments,MAA Woodwind,"14555 Philippine Street, Houston, TX 77040"
Mid America Apartments,MAA Energy Park,"15200 Park Row, Houston, TX 77084"
Mid America Apartments,MAA Vintage Park,"19939 Chasewood Park Drive, Houston, TX 77070"
Mid America Apartments,MAA 510,"510 Richmond Avenue, Houston, TX 77006"
Mid America Apartments,MAA Greater Heights,"655 Yale Street, Houston, TX 77007"
Mid America Apartments,MAA Valleywood,"315 Valleywood Rd., The Woodlands, TX 77380"
Mid America Apartments,MAA Fall Creek,"8440 N Sam Houston Pkwy E, Humble, TX 77396"
Mid America Apartments,MAA Afton Oaks,"3131 West Loop South, Houston, TX 77027"
Mid America Apartments,MAA Cypresswood,"22221 Cypresswood Dr., Spring, TX 77373"
Mid America Apartments,MAA Legacy Pines,"11100 Louetta Rd., Houston, TX 77070"
Mid America Apartments,MAA Kirkwood,"12840 Kirkwood Dr, Stafford, TX 77477"
Mid America Apartments,MAA Bulverde,"3515 Canyon Parkway, San Antonio, TX 78259"
Mid America Apartments,MAA Westover Hills,"9531 State Highway 151, San Antonio, TX 78251"
Mid America Apartments,MAA Alamo Ranch,"11585 Alamo Ranch Parkway, San Antonio, TX 78253"
Mid America Apartments,MAA Haven at Blanco,"15150 Blanco Rd, San Antonio, TX 78232"
Mid America Apartments,MAA Stonefield,"3105 District Avenue, Charlottesville, VA 22901"
Mid America Apartments,MAA Adalay Bay,"101 Sabal Palm Lane, Chesapeake, VA 23320"
Mid America Apartments,MAA Tysons Corner,"1526 Lincoln Circle, Mclean, VA 22102"
Mid America Apartments,MAA Carlyle Square,"501 Holland Lane, Alexandria, VA 22314"
Mid America Apartments,MAA National Landing,"1201 South Joyce Street Suite C-1, Arlington, VA 22202"
Mid America Apartments,MAA Centreville,"5804 Post Corners Trl, Centreville, VA 20120"
Mid America Apartments,MAA Cosner's Corner,"9419 Cumberland Drive, Fredericksburg, VA 22408"
Mid America Apartments,Colonial Village at Greenbrier,"1 Greenbrier Drive, Fredericksburg, VA 22401"
Mid America Apartments,MAA Seasons,"1001 Dunes Street, Fredericksburg, VA 22401"
Mid America Apartments,MAA Cobblestone Square,"627 Cobblestone Circle, Fredericksburg, VA 22401"
Mid America Apartments,MAA Township,"260 Marcella Road, Hampton, VA 23666"
Mid America Apartments,MAA Radius,"900 Radius Way, Newport News, VA 23602"
Mid America Apartments,MAA Chase Gayton,"100 Chase Gayton Drive, Richmond, VA 23238"
Mid America Apartments,MAA Hunton Park,"3100 Stone Arbor Lane, Glen Allen, VA 23059"
Mid America Apartments,MAA West Creek,"1000 Wilkes Ridge Place, Richmond, VA 23233"
Mid America Apartments,MAA West End,"4008 Gaelic Lane, Glen Allen, VA 23060"
Mid America Apartments,MAA Pavilion Place,"2801 Pavilion Place, Midlothian, VA 23112"
Mid America Apartments,MAA Glen Allen,"4118 Whitford Circle, Glen Allen, VA 23060"
